Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,1853913988.89457,2110577455.85643,2566011311.73449,3057794124.12213,2328861131.23445,1383201806.0372,1985366662.90162,1417300546.13462,1136013206.34948,1152896049.81817,1609472020.80143,1515758748.64214,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Albania,ALB,554500000,658200000,667180000,846770660.904754,1249817713.79305,1460772256.90119,1869568360.54437,2464394201.34943,3282556018.12404,3061231687.9578,3324321246.87734,3776352790.36789,3555572487.67516,3700232565.10144,3732224767.75746,3104045580.12049,3439878229.62969,4143794703.49414,4784712029.2556,4822385625.67263,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Algeria,DZA,..,..,..,..,..,48840999999.9978,57304000000.0025,63329352193.4836,81544414106.109,48109316609.1718,60587734433.8983,76387318691.2563,75187930613.1179,68589769661.1321,63586929716.4811,37905326615.2648,32746852186.7272,37571694843.2234,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Angola,AGO,8187990000,6736820000,8534680110,9709260555.5,13797769756,24286236864.59,33346469287.82,44706905586.82,64243391219.74,41451146946.8,51451730498.67,68042543017.4919,71873279931.5015,69562221910.0981,60851231669.6018,34437293543.5047,28299767212.9401,35598035305.5607,41388891319.4605,35180142878.3236,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Antigua and Barbuda,ATG,466861909.62963,445334074.074074,427865302.222222,462637943.703704,533973111.111111,545269385.185185,548169825.555556,581289324.074074,625368677.407407,561623502.222222,523833886.666667,537755738.888889,541549686.666667,529183396.296296,1027284545.1212,1016366368.49596,1043107331.22333,990302378.630489,1151692730.96001,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Argentina,ARG,31236920314.834,31116753076.8311,29054500000,34336010000,39757250000,46892210000,54528515092.9204,66122298496.1757,81583621071.7764,66335605323.6348,81123016360.6088,97616690275.3835,94330755729.5577,89608120129.4452,81836807734.7264,70022565842.9763,71384640574.7552,74168075513.7622,77074415191.3173,79289657863.1312,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Armenia,ARM,454174297.214579,561984358.295613,747565570.880556,981741374.925292,1117371715.11988,1458848046.08668,1646706743.23362,1968449652.25257,1943627882.74354,1559300543.60909,2210672987.38497,2742201909.0729,2917371358.54345,3155257884.77128,3318345442.34713,3136352742.2871,3563491903.69423,4409104126.39571,4907218492.95727,5640659354.41849,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Aruba,ABW,1815620111.73184,2018206703.91061,1448782122.90503,1766139664.80447,4687899441.34078,5724017205.21808,6026262570.79612,6677821229.05028,7059664804.46927,3490111731.84358,1824636871.50838,6861117318.43575,3151005586.59218,2162036796.64804,2299628836.31285,2437130635.75419,2344277793.17226,2305572783.82987,2553925961.92891,2549201742.62189,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Australia,AUS,83989348863.1056,81575692194.6449,84497680537.5187,94088600035.3725,114901826681.727,137448890573.078,157748983800.885,182994104398.621,232680429205.088,195104905304.235,260249450614.58,324140478278.654,311985984116.933,307257830406.135,297177078853.115,243106250217.137,250930826254.777,296739915767.284,327319449594.396,342359572381.867,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Austria,AUT,..,..,..,..,..,158979346983.826,175093969858.465,211276540327.748,235883861808.156,185786130522.094,197754734995.671,229474265484.179,218094592906.703,228877362573.818,236094103870.627,202399365638.582,207006814742.549,225371898240.106,253300714000.751,247167403884.659,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Azerbaijan,AZE,2118103000,2368762000,2655143000,3038268000,4123270000,8139524000,13714380000,22355216000,31889127000,22759265000,28234775000,37038851000,36685877000,35912069000,32556819000,20030038000,17578801000,19840498000,25484473000,23629741259.9695,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,"Bahamas, The",BHS,2438020000,2221300000,2483859056.45,2481190000,2721540000,3060036585.259,3139620000,3401214138.25,3489746562.6,3061537000,3196008000,3327147000,3675394600,3626154000,3558745982.95,3416036338.575,3881206156.49,3828228213.8775,4379469463.99751,4576728073.92025,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Bahrain,BHR,7176122542.28723,6606378405.85106,6956041298.3156,7980662118.35106,10336728457.2695,13396925785.8156,15662270455.5851,17314361702.1277,21231382978.7234,15704787234.0426,17880319148.9362,22946010638.2979,31409042553.1915,34102925531.9149,32069148936.1702,25652925531.9149,23782180851.0638,26732180851.0638,30097340425.5319,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Bangladesh,BGD,7214255771.62451,6836930334.2454,6885020099.52858,7928264010.95381,9117424421.48158,10551474004.9266,12887525768.4106,14090342485.2356,17495074302.4983,17047455387.7291,21654463975.0679,26990086630.4744,27591054728.5413,31635199879.2911,33057235033.7095,34969256093.9049,37662675681.5369,39170435004.246,44128038982.4148,44859312525.5627,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Barbados,BRB,1402523634.49906,1302591278.59737,1308023868.6273,1457178753.86273,1466157709.10242,1762646797.69397,2046394522.22658,2171159650.41684,2252160303.50916,1896384360.75349,2054685256.78683,2131085559.53879,2117291235.71028,2343247668.72723,2343954728.48644,2358268516.62626,2390953849.6345,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Belarus,BLR,7047800000,7833200000,8604200000,10881500000,14976900000,17536300000,21569300000,26872900000,36243800000,24341400000,29339100000,46580100000,51938400000,44111500000,43375600000,32854100000,29983700000,36595400000,42267800000,41953600000,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Belgium,BEL,..,..,195800100951.87,218529955479.826,261490515664.286,285183090008.551,307542533700.369,361708980243.025,412460283858.459,334155153774.386,369294651391.053,428855111569.5,407288727031.279,426507586267.923,436372408333.837,359684476527.395,377940854350.088,418158032724.292,451247977931.1,436297618855.439,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Belize,BLZ,423702769.09625,425353573.782026,479150897.829128,515746792.02084,528057030.85738,615000628.891277,775964114.000772,816351071.600871,866565798.004098,728299880.171641,829575933.439001,943767027.439495,1034414459.16485,1056127152.13127,1083001281.51282,1033644191.97502,968526944.164158,1030908165.47966,1071298551.55414,1129608355.17594,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Benin,BEN,529699203.847981,521068954.083124,602847955.072377,714762958.573173,785596855.587573,772185381.667533,953373985.244189,1350078306.34463,1636815991.4398,1451319465.94227,1659610999.34905,1664140959.14569,1876452465.3646,2496971632.37557,3044887820.45962,2736492199.86778,3189693705.14483,3314328544.98974,3847664032.57496,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Bermuda,BMU,..,..,..,..,..,..,1617760000,1630938333.21191,1488205917.96382,1355406014.62522,1416064408.86253,1470443894.71498,1399876565.10677,1391041517.63726,1351568514.99486,1259589527.3189,1313493631.62608,1395210434.67126,1577906242.82241,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Bhutan,BTN,..,..,..,..,..,..,363738082.545728,636741509.768701,653637755.393743,574268848.326477,590485064.364733,745573125.523142,729034440.586467,667794405.571274,659145142.494112,706946117.876842,642339520.120198,716346961.256478,778576098.88408,781961476.002564,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Bolivia,BOL,1470024096.03,1520698269.97172,1555312119.06189,1961205035.63242,2562015186.20425,3279393006.37881,4349355086.50369,4954735466.57491,7023072797.03459,5429960000,6836994924.1346,9122873526.42334,12257994961.9127,12752655397.1568,14001547630.0564,9927413077.01441,8274686876.44516,9588789732.47868,10353387831.859,10270917560.9366,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Bosnia and Herzegovina,BIH,1579790181.38747,1630974329.54227,1633872801.0059,2198490326.47348,2950216686.35459,3544270729.86483,4521180072.90518,4287589229.72557,5168278490.91307,4430602468.25145,5094442709.99652,5980702786.3492,5566123838.72272,6133467167.14973,6307052949.82694,5759120182.58742,6149663056.30165,7432685496.14721,8574069723.65374,8174532489.21173,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Botswana,BWA,2999881513.79601,2671093199.89585,2836790168.83394,3667388019.87313,4439949304.99871,5269906559.87039,5297061556.05195,6011239817.30459,5442835027.96213,4178002818.13028,5273007889.77465,7271582462.94332,7249491791.31495,8778919005.707,9501319885.24957,7200238033.1066,8213907848.54079,6889014171.0976,7341141821.34632,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,63716723040.9693,66517202823.9496,68943055575.7244,82570023303.5733,107984756804.627,133005199276.194,156303207937.529,184603323407.868,228392969446.029,180723090100,231995637790.95,292487960972.715,281099514398.14,279587813724.59,264063098515.125,223884769813.385,217614808716.85,252547100285.24,274976544272.16,260129619229.065,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brunei Darussalam,BRN,..,4125731309.131,4135579443.15039,4860307891.40582,5613073006.10381,6857071420.58467,8371474050.7876,8504938837.00846,11564949952.7002,8086792762.52575,9261650665.53031,12877940242.249,13364678877.7238,12328064821.1666,11668217281.5374,6773193238.17223,5342041396.27606,6025744289.57607,7040938538.27712,7827703137.00951,..
