Series Name,Series Code,Time,Time Code,China [CHN]
Control of Corruption: Estimate,CC.EST,2000,YR2000,-0.2182887
Control of Corruption: Estimate,CC.EST,2002,YR2002,-0.5182464
Control of Corruption: Estimate,CC.EST,2003,YR2003,-0.359454
Control of Corruption: Estimate,CC.EST,2004,YR2004,-0.5596942
Control of Corruption: Estimate,CC.EST,2005,YR2005,-0.6087338
Control of Corruption: Estimate,CC.EST,2006,YR2006,-0.5145814
Control of Corruption: Estimate,CC.EST,2007,YR2007,-0.5896475
Control of Corruption: Estimate,CC.EST,2008,YR2008,-0.5202951
Control of Corruption: Estimate,CC.EST,2009,YR2009,-0.5149382
Control of Corruption: Estimate,CC.EST,2010,YR2010,-0.5616429
Control of Corruption: Estimate,CC.EST,2011,YR2011,-0.5071135
Control of Corruption: Estimate,CC.EST,2012,YR2012,-0.4357008
Control of Corruption: Estimate,CC.EST,2013,YR2013,-0.3583522
Control of Corruption: Estimate,CC.EST,2014,YR2014,-0.3400691
Control of Corruption: Estimate,CC.EST,2015,YR2015,-0.2821073
Control of Corruption: Estimate,CC.EST,2016,YR2016,-0.2540594
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 09/28/2020,,,,
