Series Name,Series Code,Time,Time Code,China [CHN]
Government Effectiveness: Estimate,GE.EST,2000,YR2000,-0.108963
Government Effectiveness: Estimate,GE.EST,2002,YR2002,-0.0602706
Government Effectiveness: Estimate,GE.EST,2003,YR2003,-0.0820877
Government Effectiveness: Estimate,GE.EST,2004,YR2004,-0.0552381
Government Effectiveness: Estimate,GE.EST,2005,YR2005,-0.1199866
Government Effectiveness: Estimate,GE.EST,2006,YR2006,0.0704749
Government Effectiveness: Estimate,GE.EST,2007,YR2007,0.1827777
Government Effectiveness: Estimate,GE.EST,2008,YR2008,0.150768
Government Effectiveness: Estimate,GE.EST,2009,YR2009,0.0938044
Government Effectiveness: Estimate,GE.EST,2010,YR2010,0.0886487
Government Effectiveness: Estimate,GE.EST,2011,YR2011,0.0882015
Government Effectiveness: Estimate,GE.EST,2012,YR2012,0.0234259
Government Effectiveness: Estimate,GE.EST,2013,YR2013,0.0036481
Government Effectiveness: Estimate,GE.EST,2014,YR2014,0.3228883
Government Effectiveness: Estimate,GE.EST,2015,YR2015,0.4078639
Government Effectiveness: Estimate,GE.EST,2016,YR2016,0.3548748
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 09/28/2020,,,,
