Series Name,Series Code,Time,Time Code,China [CHN]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2000,YR2000,8.27850416666667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2002,YR2002,8.2769575
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2003,YR2003,8.27703666666667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2004,YR2004,8.27680083333333
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2005,YR2005,8.19431666666667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2006,YR2006,7.97343833333333
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2007,YR2007,7.6075325
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2008,YR2008,6.948655
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2009,YR2009,6.83141605176666
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2010,YR2010,6.7702690287094
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2011,YR2011,6.46146132655007
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2012,YR2012,6.31233282683186
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2013,YR2013,6.19575834608231
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2014,YR2014,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2015,YR2015,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2016,YR2016,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2020,,,,
