Series Name,Series Code,Time,Time Code,China [CHN]
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,YR2000,-0.208934
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,YR2002,-0.3270945
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2003,YR2003,-0.5636662
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2004,YR2004,-0.3901919
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,YR2005,-0.501789
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2006,YR2006,-0.5397638
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2007,YR2007,-0.4988205
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2008,YR2008,-0.491275
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2009,YR2009,-0.4493464
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2010,YR2010,-0.6570607
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2011,YR2011,-0.6020548
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2012,YR2012,-0.5387821
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2013,YR2013,-0.5437899
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2014,YR2014,-0.522584
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2015,YR2015,-0.5502946
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2016,YR2016,-0.499395
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 09/28/2020,,,,
