Series Name,Series Code,Time,Time Code,China [CHN]
Regulatory Quality: Estimate,RQ.EST,2000,YR2000,-0.3392896
Regulatory Quality: Estimate,RQ.EST,2002,YR2002,-0.513172
Regulatory Quality: Estimate,RQ.EST,2003,YR2003,-0.3333692
Regulatory Quality: Estimate,RQ.EST,2004,YR2004,-0.3086975
Regulatory Quality: Estimate,RQ.EST,2005,YR2005,-0.1500192
Regulatory Quality: Estimate,RQ.EST,2006,YR2006,-0.2011652
Regulatory Quality: Estimate,RQ.EST,2007,YR2007,-0.1715566
Regulatory Quality: Estimate,RQ.EST,2008,YR2008,-0.1547905
Regulatory Quality: Estimate,RQ.EST,2009,YR2009,-0.2238316
Regulatory Quality: Estimate,RQ.EST,2010,YR2010,-0.234011
Regulatory Quality: Estimate,RQ.EST,2011,YR2011,-0.2214281
Regulatory Quality: Estimate,RQ.EST,2012,YR2012,-0.2408196
Regulatory Quality: Estimate,RQ.EST,2013,YR2013,-0.2879804
Regulatory Quality: Estimate,RQ.EST,2014,YR2014,-0.2829926
Regulatory Quality: Estimate,RQ.EST,2015,YR2015,-0.2894387
Regulatory Quality: Estimate,RQ.EST,2016,YR2016,-0.2644748
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 09/28/2020,,,,
