Series Name,Series Code,Time,Time Code,Japan [JPN]
Control of Corruption: Estimate,CC.EST,2000,YR2000,1.273968
Control of Corruption: Estimate,CC.EST,2002,YR2002,0.9685954
Control of Corruption: Estimate,CC.EST,2003,YR2003,1.210685
Control of Corruption: Estimate,CC.EST,2004,YR2004,1.218695
Control of Corruption: Estimate,CC.EST,2005,YR2005,1.218508
Control of Corruption: Estimate,CC.EST,2006,YR2006,1.329219
Control of Corruption: Estimate,CC.EST,2007,YR2007,1.238238
Control of Corruption: Estimate,CC.EST,2008,YR2008,1.335973
Control of Corruption: Estimate,CC.EST,2009,YR2009,1.377338
Control of Corruption: Estimate,CC.EST,2010,YR2010,1.560462
Control of Corruption: Estimate,CC.EST,2011,YR2011,1.561262
Control of Corruption: Estimate,CC.EST,2012,YR2012,1.627003
Control of Corruption: Estimate,CC.EST,2013,YR2013,1.65568
Control of Corruption: Estimate,CC.EST,2014,YR2014,1.694595
Control of Corruption: Estimate,CC.EST,2015,YR2015,1.569181
Control of Corruption: Estimate,CC.EST,2016,YR2016,1.524958
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 09/28/2020,,,,
