Series Name,Series Code,Time,Time Code,Japan [JPN]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2000,YR2000,107.765498333333
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2002,YR2002,125.388019166667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2003,YR2003,115.933464166667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2004,YR2004,108.192569166667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2005,YR2005,110.218211666667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2006,YR2006,116.299311666667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2007,YR2007,117.753529166667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2008,YR2008,103.359493968254
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2009,YR2009,93.5700890870457
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2010,YR2010,87.779875
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2011,YR2011,79.8070198321892
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2012,YR2012,79.7904554170065
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2013,YR2013,97.5956582776385
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2014,YR2014,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2015,YR2015,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2016,YR2016,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2020,,,,
