Series Name,Series Code,Time,Time Code,Japan [JPN]
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,YR2000,1.198905
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,YR2002,1.179546
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2003,YR2003,1.027569
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2004,YR2004,1.028519
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,YR2005,1.036058
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2006,YR2006,1.138634
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2007,YR2007,1.010045
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2008,YR2008,0.8941537
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2009,YR2009,0.9757358
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2010,YR2010,0.8793532
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2011,YR2011,0.995092
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2012,YR2012,0.9484429
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2013,YR2013,1.019142
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2014,YR2014,0.9685974
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2015,YR2015,1.065128
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2016,YR2016,0.9829442
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 09/28/2020,,,,
