Series Name,Series Code,Time,Time Code,Japan [JPN]
Regulatory Quality: Estimate,RQ.EST,2000,YR2000,0.8396158
Regulatory Quality: Estimate,RQ.EST,2002,YR2002,0.5304578
Regulatory Quality: Estimate,RQ.EST,2003,YR2003,1.102628
Regulatory Quality: Estimate,RQ.EST,2004,YR2004,1.143969
Regulatory Quality: Estimate,RQ.EST,2005,YR2005,1.260381
Regulatory Quality: Estimate,RQ.EST,2006,YR2006,1.260638
Regulatory Quality: Estimate,RQ.EST,2007,YR2007,1.129072
Regulatory Quality: Estimate,RQ.EST,2008,YR2008,1.131932
Regulatory Quality: Estimate,RQ.EST,2009,YR2009,1.098667
Regulatory Quality: Estimate,RQ.EST,2010,YR2010,1.018737
Regulatory Quality: Estimate,RQ.EST,2011,YR2011,1.079391
Regulatory Quality: Estimate,RQ.EST,2012,YR2012,1.143813
Regulatory Quality: Estimate,RQ.EST,2013,YR2013,1.115993
Regulatory Quality: Estimate,RQ.EST,2014,YR2014,1.142823
Regulatory Quality: Estimate,RQ.EST,2015,YR2015,1.217743
Regulatory Quality: Estimate,RQ.EST,2016,YR2016,1.428122
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 09/28/2020,,,,
