Series Name,Series Code,Time,Time Code,Japan [JPN]
Government Effectiveness: Estimate,GE.EST,2000,YR2000,1.199341
Government Effectiveness: Estimate,GE.EST,2002,YR2002,1.068673
Government Effectiveness: Estimate,GE.EST,2003,YR2003,1.217828
Government Effectiveness: Estimate,GE.EST,2004,YR2004,1.36378
Government Effectiveness: Estimate,GE.EST,2005,YR2005,1.290751
Government Effectiveness: Estimate,GE.EST,2006,YR2006,1.589435
Government Effectiveness: Estimate,GE.EST,2007,YR2007,1.447718
Government Effectiveness: Estimate,GE.EST,2008,YR2008,1.460432
Government Effectiveness: Estimate,GE.EST,2009,YR2009,1.454036
Government Effectiveness: Estimate,GE.EST,2010,YR2010,1.527669
Government Effectiveness: Estimate,GE.EST,2011,YR2011,1.47267
Government Effectiveness: Estimate,GE.EST,2012,YR2012,1.415637
Government Effectiveness: Estimate,GE.EST,2013,YR2013,1.618066
Government Effectiveness: Estimate,GE.EST,2014,YR2014,1.812485
Government Effectiveness: Estimate,GE.EST,2015,YR2015,1.784521
Government Effectiveness: Estimate,GE.EST,2016,YR2016,1.822038
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 09/28/2020,,,,
